id;name;author;builder;creater_ing;other;score;latest_date
1;New Taiwan Dollar connecting Fiji Dollar;seize;infomediaries holistic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Intelligent;2020-02-24T11:45:26
2;Wooden open-source;protocol;Sausages;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;niches Facilitator navigate;2020-02-23T17:04:47
3;Tasty;Configuration;Guarani Awesome;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;deposit compressing;2020-02-24T04:58:53
4;Arizona;Architect violet reboot;Harbors access;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Function-based indexing;2020-02-24T08:58:01
5;override fuchsia Palestinian Territory;Steel RAM Team-oriented;convergence;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;fresh-thinking;2020-02-24T08:05:14
6;deposit;repurpose;Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;neural Games Checking Account;2020-02-23T23:44:38
7;Burundi Franc Kids;online invoice;withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;generate Incredible;2020-02-24T08:43:22
8;Investor European Unit of Account 17(E.U.A.-17);FTP;Home Loan Account Intelligent Steel Gloves green;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;multimedia architect THX;2020-02-24T06:29:05
9;motivating reboot Rhode Island;Licensed Rubber Granite;Orchestrator Dominican Peso Ergonomic Metal Keyboard;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Lek application;2020-02-24T07:04:08
10;programming array;matrix;ubiquitous;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Intelligent strategic;2020-02-24T11:05:53
